DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,ARRIVAL STATUS_Prev_flight_early,ARRIVAL STATUS_Prev_flight_ontime,ARRIVAL STATUS_Prev_flight_late
4/19/24,FRIDAY,AA 3402,ORD,7:59 PM,10:52 PM,,,,
4/19/24,FRIDAY,DL 5182,JFK,2:55 PM,4:21 PM,,,,
4/19/24,FRIDAY,B6 656,MCO,1:35 PM,4:25 PM,,,,
4/20/24,SATURDAY,AA 3402,ORD,7:59 PM,10:52 PM,,,,
4/20/24,SATURDAY,DL 5182,JFK,2:55 PM,4:21 PM,,,,
4/21/24,SUNDAY,UA 1400,ORD,6:52 PM,9:47 PM,,,,
4/21/24,SUNDAY,B6 116,JFK,1:35 PM,2:51 PM,,,,
4/21/24,SUNDAY,WN 5285,MCO,11:05 AM,1:50 PM,,,,
4/22/24,MONDAY,UA 1400,ORD,6:52 PM,9:47 PM,,,,
4/22/24,MONDAY,B6 116,JFK,1:35 PM,2:51 PM,,,,
4/22/24,MONDAY,WN 5285,MCO,11:35 AM,2:20 PM,,,,
