hour,Carrier Code,count
0,9E,770
0,AA,712
0,B6,565
0,DL,472
0,MQ,32
0,OH,29
0,OO,174
0,UA,33
0,WN,39
0,YX,44
1,OH,1
2,UA,3
3,UA,3
7,B6,20
8,9E,950
8,B6,401
8,EV,8
8,F9,29
8,G4,145
8,OH,122
8,OO,52
8,YX,15
9,9E,922
9,AA,18
9,B6,192
9,EV,56
9,F9,186
9,G4,411
9,OH,15
9,OO,301
9,UA,5
9,WN,10
9,YV,52
9,YX,162
10,9E,1102
10,AA,411
10,B6,301
10,DL,71
10,F9,211
10,G4,523
10,MQ,754
10,OH,70
10,OO,298
10,UA,2
10,WN,11
10,YX,402
11,9E,3090
11,AA,754
11,B6,166
11,DL,994
11,EV,70
11,F9,293
11,G4,283
11,MQ,562
11,OH,837
11,OO,182
11,UA,4
11,WN,289
11,YX,1013
12,9E,1256
12,AA,29
12,B6,4
12,DL,246
12,EV,8
12,F9,195
12,G4,172
12,MQ,224
12,OH,52
12,OO,305
12,UA,5
12,WN,259
12,YX,378
13,9E,490
13,AA,31
13,B6,180
13,DL,255
13,EV,228
13,F9,144
13,G4,81
13,MQ,32
13,OH,230
13,OO,414
13,UA,1
13,WN,222
13,YV,368
13,YX,184
14,9E,196
14,AA,51
14,B6,414
14,F9,64
14,G4,125
14,MQ,534
14,OH,442
14,OO,292
14,UA,270
14,WN,159
14,YV,27
14,YX,286
15,9E,622
15,AA,79
15,B6,95
15,DL,3
15,EV,74
15,F9,139
15,G4,233
15,MQ,156
15,OH,180
15,OO,337
15,UA,314
15,WN,187
15,YX,93
16,9E,1452
16,AA,459
16,B6,67
16,DL,98
16,F9,201
16,G4,146
16,MQ,776
16,OH,522
16,OO,1241
16,UA,175
16,WN,344
16,YX,664
17,9E,2176
17,AA,86
17,B6,144
17,DL,843
17,F9,205
17,G4,472
17,MQ,504
17,OH,317
17,OO,590
17,UA,1
17,WN,184
17,YX,331
18,9E,1626
18,AA,597
18,B6,320
18,DL,265
18,EV,202
18,F9,163
18,G4,368
18,MQ,40
18,OH,137
18,OO,104
18,UA,28
18,WN,57
18,YV,231
18,YX,392
19,9E,188
19,AA,197
19,B6,433
19,DL,130
19,EV,98
19,F9,323
19,G4,274
19,MQ,68
19,OH,31
19,OO,19
19,UA,4
19,YV,106
19,YX,166
20,9E,32
20,AA,71
20,B6,139
20,DL,45
20,F9,91
20,G4,192
20,MQ,196
20,OH,73
20,OO,83
20,UA,382
20,YX,170
21,9E,730
21,AA,388
21,B6,224
21,DL,38
21,F9,5
21,G4,19
21,MQ,586
21,OH,94
21,OO,104
21,UA,727
21,WN,27
21,YX,112
22,9E,1570
22,AA,783
22,B6,490
22,DL,253
22,EV,162
22,F9,2
22,MQ,454
22,OH,526
22,OO,90
22,UA,147
22,WN,335
22,YX,608
23,9E,2660
23,AA,600
23,B6,1139
23,DL,1624
23,EV,4
23,MQ,270
23,OH,431
23,OO,349
23,UA,948
23,WN,376
23,YV,434
23,YX,1153
